Id,TagName,Count,ExcerptPostId,WikiPostId
"1",".net","216781","3624959","3607476"
"2","html","453768","3673183","3673182"
"3","javascript","937830","3624960","3607052"
"4","css","332802","3644670","3644669"
"5","php","803687","3624936","3607050"
"8","c","191520","3624961","3607013"
"9","c#","845142","3624962","3607007"
"10","c++","393084","3624963","3606997"
"12","ruby","142854","3624964","3607043"
"16","python","469519","3624965","3607014"
"17","java","922540","3624966","3607018"
"18","regex","126331","3624967","3607017"
"19","xml","121956","3624968","3607588"
"21","mysql","345378","3624969","3607033"
"22","sql","293454","3625226","3607304"
"23","tsql","34609","4777787","4777786"
"27","browser","16795","5388160","5388159"
"28","linq","50745","4890031","4890030"
"30","database","98930","4973766","4973765"
"34","unix","26823","4957075","4957074"
"35","sockets","35701","5253586","5253585"
"38","flex","23145","3625227","3608598"
"40","table","23503","4915464","4915463"
"41","vb.net","88834","3625228","3607042"
"48","architecture","10070","4083816","4083815"
"49","forms","62750","5602245","5602244"
"53","eclipse","89490","3625229","3607482"
"58","linux","108077","3625112","3607012"
"61","memory","19071","5009628","5009627"
"63","svn","22223","3696944","3696943"
"64","windows","84435","3625230","3609881"
"72","sql-server","141767","3625231","3607030"
"73","csv","27507","4913959","4913958"
"80","apache","55159","4979625","4979624"
"87","printing","12514","6077509","6077508"
"90","pdf","23204","4541006","4541005"
"96","asp.net","267414","3625232","3607037"
"114","arrays","147729","4969094","4969093"
"118","delphi","32765","3625233","3607016"
"119","git","59724","3625234","3607047"
"121","sqlite","41863","3625235","3607650"
"129","opengl","23398","4058612","4058611"
"134","sorting","31669","5009631","5009630"
"136","security","34278","3625053","3612218"
"137","oop","32248","4913607","4913606"
"139","string","83944","4887591","4887590"
"142","ant","12317","3625237","3607490"
"146","email","32724","5483666","5483665"
"148","generics","22906","4890360","4890359"
"154","iphone","207051","3625240","3607496"
"173","data-binding","13966","5253639","5253638"
"174","design","16590","3625241","3623854"
"183","authentication","23764","5253712","5253711"
"186","testing","20725","4922785","4922784"
"190","deployment","13129","5047602","5047601"
"194","oracle","60229","3625242","3607031"
"197","random","15371","6855850","6855849"
"201","api","37466","4924743","4924742"
"215","iis","21399","4890022","4890021"
"219","encryption","17778","5214024","5214023"
"243","django","102873","3625245","3607538"
"247","reflection","14796","5329327","5329326"
"248","algorithm","56125","3625246","3620111"
"256","postgresql","43613","3625247","3607532"
"259","math","21331","5104883","5104882"
"272","xslt","22239","3625248","3609260"
"276","variables","27817","5151905","5151904"
"277","debugging","28727","4985314","4985313"
"279","unicode","13700","3625249","3607542"
"290","twitter","17031","4924829","4924828"
"292","cookies","18277","4926401","4926400"
"299","flash","31746","3659514","3659513"
